model,fraction_num,fraction_den,component,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,0.008281489193,-0.02430174592,0.03555456826,0.6494,-2.000417334,-2.301742533,1.47276808,0.0786,0.04738415675,0.07257598293
gamma,1,32,conditional,-0.005571680279,-0.04705073504,0.03195964771,0.3451,-2.150901109,-2.301509256,3.208400143,0.1368,0.09157795246,0.09149777305
gamma,1,32,disorder,0.009002723807,-0.02312919843,0.04101610584,0.7015,-1.504176573,-2.301216435,4.297548679,0.1822,0.04597254021,0.04753512847
gamma,1,16,marginal,0.002220580832,-0.03543647161,0.03593274743,0.4888,-2.240840684,-2.30146747,4.018535752,0.1591,0.025544055,0.02445533742
gamma,1,16,conditional,-0.01656676175,-0.06468666457,0.02648837065,0.2039,-1.262713101,-2.30072838,4.837084139,0.2361,0.0357890652,0.1136102676
gamma,1,16,disorder,0.01818981707,-0.01703909948,0.05387735209,0.8487,-0.7367603424,-2.300402552,4.648085017,0.2449,0.03176198167,0.09491556688
gamma,1,8,marginal,-0.07580864515,-0.1102150259,-0.04594537202,0,7.289706236,0.5045196633,13.50090931,0.9869,0.2786288948,0.2279525846
gamma,1,8,conditional,-0.07239261174,-0.11902052,-0.02913609362,0.0006,3.290118822,-1.575312075,9.29958931,0.8158,0.3726975503,0.3563913741
gamma,1,8,disorder,-0.006470600658,-0.04182062043,0.02842134391,0.3614,-2.115735402,-2.30154966,2.402510647,0.1064,0.1632431457,0.1591288606
gamma,1,4,marginal,-0.03585558968,-0.07903356591,0.002770003347,0.0319,2.284443897,-2.272890984,9.217142451,0.5661,0.1159366293,0.03661727168
gamma,1,4,conditional,-0.05922468534,-0.1127609824,-0.01062932429,0.0089,3.673482345,-2.149714596,10.72327417,0.7124,0.2310434368,0.1743118414
gamma,1,4,disorder,0.002959390348,-0.03878658064,0.04335415094,0.5561,-2.278977631,-2.301799115,1.465629299,0.0776,0.133379718,0.1571469177
uniform,1,32,marginal,-0.007378694272,-0.04101571369,0.02289530062,0.2772,-1.948096364,-2.301304246,3.52191754,0.1589,0.01350942145,0.04220907689
uniform,1,32,conditional,-0.01360299823,-0.06061485128,0.02914056265,0.2455,-1.087740989,-2.300660378,5.469771442,0.2409,0.003283808071,0.05238858696
uniform,1,32,disorder,0.007158584659,-0.02408679336,0.03813489286,0.6744,-1.719633007,-2.301145261,3.916075257,0.1717,0.008737584583,0.01774582913
uniform,1,16,marginal,0.02712610567,-0.01188893116,0.06234325089,0.9092,1.70839695,-2.297983397,7.174260815,0.3847,0.2728956228,0.2246256314
uniform,1,16,conditional,-0.02162931318,-0.07256967813,0.02597088454,0.1717,0.03897197933,-2.299728492,6.868657796,0.311,0.2466615872,0.2990648852
uniform,1,16,disorder,0.04801807533,0.01062579695,0.08615955895,0.9944,12.85436114,-1.933482844,14.60220886,0.8323,0.08293545328,0.07153798342
uniform,1,8,marginal,-0.02763270677,-0.06702378389,0.005675239945,0.0467,4.229140031,-2.284315621,10.61215745,0.5694,0.04129527423,0.06004852341
uniform,1,8,conditional,-0.02235667105,-0.07496040009,0.02326774153,0.1482,-0.9478258841,-2.300249537,5.517274316,0.268,0.09359573542,0.09639179419
uniform,1,8,disorder,-0.005996423801,-0.0414099567,0.03024739779,0.3733,-2.217297291,-2.301919504,0.7785093546,0.0534,0.06229872082,0.06530029523
uniform,1,4,marginal,-0.00669913405,-0.04835137428,0.03019474841,0.3158,-2.151695273,-2.301632883,2.355932384,0.1083,0.1570202528,0.1603915328
uniform,1,4,conditional,-0.02194563099,-0.07840310546,0.02997390875,0.1907,-1.291960883,-2.301023597,4.392392957,0.2081,0.2208470359,0.2227993687
uniform,1,4,disorder,0.01080570675,-0.02825499775,0.04906084843,0.6962,-1.483612644,-2.301166406,4.300192376,0.1902,0.09703193567,0.10098194
