campaign,model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
directed_gamma_k05_min128,gamma,marginal,block_gls,-0.0005187225674,-0.006255644523,0.003805592174,0.3161,-3.830953984,-3.870397111,2.173777562,0.0744,0.107173831,0.1068924753
directed_gamma_k05_min128,gamma,conditional,block_gls,0.002162953611,-0.004232917445,0.007416114303,0.7062,-3.34625514,-3.869966407,2.363910344,0.0792,0.106374393,0.1017701975
directed_gamma_k05_min128,gamma,disorder,block_gls,-0.002513012451,-0.007741631441,0.002546110706,0.1657,-2.977176447,-3.868971802,4.629881836,0.1618,0.09559991736,0.09238926543
directed_gamma_k05_min128,uniform,marginal,block_gls,0.002610693318,-0.003061350202,0.006925781037,0.7798,-2.825674435,-3.869673384,3.497236888,0.1219,0.1581804783,0.1543202489
directed_gamma_k05_min128,uniform,conditional,block_gls,0.002682101693,-0.005005182791,0.009128011072,0.7172,-3.30676995,-3.869781098,2.721358243,0.0862,0.1736098942,0.1729603445
directed_gamma_k05_min128,uniform,disorder,block_gls,-0.0006546221821,-0.005699280115,0.00444231858,0.3974,-3.806052257,-3.869907815,1.549455359,0.059,0.06239927345,0.06662933368
directed_gamma_k05_min512,gamma,marginal,block_gls,-0.01545570809,-0.03681888762,0.0002820236948,0.0273,-1.097317763,-3.660185249,11.01815348,0.4846,0.1120105254,0.1183844881
directed_gamma_k05_min512,gamma,conditional,block_gls,0.0105820938,-0.01342121401,0.03072380266,0.7771,-2.807431821,-3.687132173,3.770563271,0.1264,0.110035713,0.1010052911
directed_gamma_k05_min512,gamma,disorder,block_gls,-0.02480179573,-0.04423603588,-0.006095623158,0.005,2.85060175,-3.27851606,17.11428715,0.7534,0.09510497711,0.08642486458
directed_gamma_k05_min512,uniform,marginal,block_gls,-0.00275730972,-0.02401840183,0.01310366724,0.2824,-3.604226052,-3.687611057,2.839881267,0.0952,0.1600336442,0.16328639
directed_gamma_k05_min512,uniform,conditional,block_gls,-0.02008207717,-0.04793867695,0.002731387975,0.0413,-1.354977631,-3.670919978,9.610684666,0.4235,0.1722430325,0.1765533347
directed_gamma_k05_min512,uniform,disorder,block_gls,0.01312743516,-0.005344107679,0.03150902552,0.9192,-1.764338448,-3.681484751,7.398715417,0.2937,0.07116387111,0.05627882639
directed_gamma_k05_min1024,gamma,marginal,block_gls,0.01827348893,-0.03826795475,0.06206484345,0.6708,-2.954465531,-3.464690423,2.625323862,0.089,0.1236235881,0.1244939148
directed_gamma_k05_min1024,gamma,conditional,block_gls,0.032410669,-0.0315503693,0.08645469621,0.8106,-2.311018537,-3.463648788,4.75057537,0.1675,0.1182441155,0.1047066757
directed_gamma_k05_min1024,gamma,disorder,block_gls,-0.004031311848,-0.05529972505,0.04445957609,0.4162,-3.440927661,-3.464710321,1.648143147,0.0672,0.07945076014,0.0876366497
directed_gamma_k05_min1024,uniform,marginal,block_gls,-0.006672818509,-0.06270441605,0.03746761232,0.2951,-3.398693357,-3.464412564,2.548731979,0.1004,0.1552747712,0.1682278697
directed_gamma_k05_min1024,uniform,conditional,block_gls,-0.05517815727,-0.1309258737,0.009377472235,0.0476,-1.123922588,-3.451658979,9.718922718,0.4427,0.1848263013,0.2047051091
directed_gamma_k05_min1024,uniform,disorder,block_gls,0.03605679656,-0.01510279103,0.08501243929,0.912,-1.481752587,-3.45801249,7.563075062,0.3128,0.07209713113,0.0548824805
directed_gamma_k1_min128,gamma,marginal,block_gls,-0.001881408252,-0.007332889472,0.002424043505,0.1567,-3.307789158,-3.868496918,4.687545611,0.1612,0.1405331851,0.1399393825
