order,log_fit,log2_fit,power_fit
24,5.415000025,5.844467459,5.512824782
32,5.90496574,6.151918438,5.9947287
48,6.59553363,6.630455385,6.671723432
64,7.085499346,7.00205914,7.150628736
96,7.776067235,7.571014347,7.823774048
128,8.266032951,8.006770879,8.300174315
192,8.956600841,8.666144346,8.970057238
256,9.446566556,9.166053654,9.44430788
384,10.13713445,9.915845382,10.11136164
512,10.62710016,10.47990747,10.58373069
600,10.89722831,10.80227266,10.84384876
700,11.15977004,11.12333966,11.0964581
800,11.38719403,11.40763991,11.31511997
900,11.5877962,11.66317204,11.507874
1000,11.76724096,11.89553521,11.68020522
1100,11.9295685,12.10880986,11.83602321
1200,12.07776192,12.30606625,11.97821292
1300,12.21408666,12.48967547,12.10896404
