model,fraction_num,fraction_den,component,order,separation,observed,log_fit,log_plus_log2_fit
gamma,1,32,marginal,128,4,6.53756957,6.596833156,6.564144228
gamma,1,32,marginal,192,6,7.827179179,7.737788438,7.736836833
gamma,1,32,marginal,256,8,8.350670671,8.547309094,8.560987951
gamma,1,32,marginal,384,12,9.917772215,9.688264376,9.711446869
gamma,1,32,marginal,512,16,10.59603254,10.49778503,10.51982294
gamma,1,32,marginal,700,22,11.59932965,11.39389535,11.40703106
gamma,1,32,marginal,900,28,11.51036171,12.07251138,12.07356727
gamma,1,32,marginal,1100,34,12.61630461,12.61885514,12.60684255
gamma,1,32,marginal,1300,41,13.34367936,13.14565755,13.11821982
gamma,1,32,conditional,128,4,4.917229229,5.348893903,4.848840732
gamma,1,32,conditional,192,6,5.962434434,6.04339515,6.02883813
gamma,1,32,conditional,256,8,6.624992993,6.536151626,6.745401556
gamma,1,32,conditional,384,12,7.47689612,7.230652872,7.585283012
gamma,1,32,conditional,512,16,8.491501877,7.723409348,8.060530336
gamma,1,32,conditional,700,22,8.641307991,8.268873086,8.469814362
gamma,1,32,conditional,900,28,8.049660545,8.681947715,8.698099928
gamma,1,32,conditional,1100,34,9.00909018,9.014508005,8.830747519
gamma,1,32,conditional,1300,41,9.009891784,9.33517345,8.915449579
gamma,1,32,disorder,128,4,1.62034034,1.247939253,1.715303496
gamma,1,32,disorder,192,6,1.864744745,1.694393288,1.707998703
gamma,1,32,disorder,256,8,1.725677678,2.011157468,1.815586395
gamma,1,32,disorder,384,12,2.440876095,2.457611504,2.126163857
gamma,1,32,disorder,512,16,2.104530663,2.774375683,2.459292599
gamma,1,32,disorder,700,22,2.958021664,3.125022263,2.937216699
gamma,1,32,disorder,900,28,3.460701169,3.390563666,3.375467337
gamma,1,32,disorder,1100,34,3.607214429,3.604347132,3.776095028
gamma,1,32,disorder,1300,41,4.333787575,3.810484101,4.202770243
gamma,1,16,marginal,128,8,8.445357357,8.132978556,8.608322726
gamma,1,16,marginal,192,12,9.741261261,9.360781506,9.373820204
gamma,1,16,marginal,256,16,9.693581582,10.23192156,10.03193648
gamma,1,16,marginal,384,24,11.46588235,11.45972451,11.1215646
gamma,1,16,marginal,512,32,12.20744681,12.33086457,12.00965522
gamma,1,16,marginal,700,44,12.42452483,13.29518535,13.10404794
gamma,1,16,marginal,900,56,13.89023929,14.02545654,14.01064477
gamma,1,16,marginal,1100,69,15.35470942,14.65759422,14.8495737
gamma,1,16,marginal,1300,81,15.41463727,15.14313336,15.52807454
gamma,1,16,conditional,128,8,6.741813814,6.60369026,6.800409695
gamma,1,16,conditional,192,12,7.656168168,7.30206387,7.307459887
gamma,1,16,conditional,256,16,7.315443443,7.797567832,7.714804742
gamma,1,16,conditional,384,24,8.496170213,8.495941442,8.355995205
gamma,1,16,conditional,512,32,8.700863579,8.991445404,8.858514097
gamma,1,16,conditional,700,44,9.462971592,9.539950509,9.460848993
gamma,1,16,conditional,900,56,10.02735671,9.955328338,9.949198542
gamma,1,16,conditional,1100,69,10.78877756,10.31488789,10.39433789
gamma,1,16,conditional,1300,81,10.40237275,10.59106227,10.75036876
gamma,1,16,disorder,128,8,1.703543544,1.529288296,1.807913031
gamma,1,16,disorder,192,12,2.085093093,2.058717636,2.066360317
gamma,1,16,disorder,256,16,2.378138138,2.43435373,2.31713174
gamma,1,16,disorder,384,24,2.96971214,2.96378307,2.765569391
gamma,1,16,disorder,512,32,3.506583229,3.339419164,3.151141122
gamma,1,16,disorder,700,44,2.961553239,3.755234842,3.643198943
gamma,1,16,disorder,900,56,3.862882582,4.070128198,4.061446225
gamma,1,16,disorder,1100,69,4.565931864,4.342706333,4.455235812
gamma,1,16,disorder,1300,81,5.012264529,4.552071089,4.777705778
gamma,1,8,marginal,128,16,9.8763003,9.467578001,9.998798977
