model,fraction_num,fraction_den,component,min_order,max_order,fit_points,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,log2_coefficient_low,log2_coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,1,32,marginal,128,1300,9,2.695881281,2.813941963,2.456430566,3.017924083,-0.03955510473,-0.559567228,0.4864552465,0.4323,-2.137895414,-2.196303821,3.520056019,0.1481,0.2518057839,0.6944994182
gamma,1,32,conditional,128,1300,9,2.974378458,1.712850829,-0.6885770518,4.833231715,-0.6050873111,-1.14696891,-0.06126311727,0.0154,4.487388483,-2.122996929,11.18845908,0.6753,0.4212250675,0.6647330292
gamma,1,32,disorder,128,1300,9,-0.2784971777,1.101091134,3.145007618,-1.815307632,0.5655322064,0.02695880922,1.111348683,0.9797,8.102385598,-2.121949372,11.5894639,0.7134,0.6729985692,0.1563062657
gamma,1,16,marginal,128,1300,9,1.836149537,3.028134666,7.662111346,-0.7440752741,0.57664846,-0.05844981649,1.196050833,0.9623,2.026246464,-2.179054329,7.25118838,0.5075,1.091880112,0.8505023727
gamma,1,16,conditional,128,1300,9,3.022057544,1.722401253,5.433110398,0.1612860513,0.238643843,-0.3889773499,0.8655561114,0.7743,-0.5752959167,-2.195451236,5.84831391,0.2531,0.4409854916,0.4025601777
gamma,1,16,disorder,128,1300,9,-1.185908007,1.305733414,2.229000948,-0.9053613254,0.338004617,-0.3086879667,0.9744427041,0.8413,0.3103844508,-2.194097997,5.232963169,0.2998,0.7895465677,0.9246675915
gamma,1,8,marginal,128,1300,9,-1.020189312,3.782662473,8.722290391,-1.326346194,0.6444336051,-0.1690350979,1.467249285,0.9383,0.6573678618,-2.188891343,6.781646948,0.4143,1.038163184,0.7666392166
gamma,1,8,conditional,128,1300,9,1.318500234,2.148630932,-4.74357651,5.327616526,-0.4009868216,-1.097124043,0.2992639941,0.1273,-0.6670329774,-2.194242872,4.395890656,0.2549,0.2919754456,0.3939683687
gamma,1,8,disorder,128,1300,9,-2.338689546,1.634031541,13.4658669,-6.65396272,1.045420427,0.2372235131,1.873971832,0.994,5.381721269,-1.930678344,11.7499622,0.7844,1.259938935,0.8459127513
gamma,1,4,marginal,128,1300,9,-1.666053858,3.719843862,5.810302537,0.4189553387,0.3543510649,-0.5198736126,1.224275732,0.7824,-1.288682654,-2.195967357,4.552357392,0.198,0.5198902726,0.38451467
gamma,1,4,conditional,128,1300,9,1.83806203,1.89062252,1.105057144,2.214251744,-0.03474166402,-0.8044209761,0.7136868688,0.4507,-2.104356881,-2.195845219,4.906379058,0.2163,0.3031848164,0.4425262039
gamma,1,4,disorder,128,1300,9,-3.504115888,1.829221342,4.705245393,-1.795296405,0.3890927289,-0.476220818,1.245455797,0.8172,-1.064238237,-2.195678847,5.190155651,0.2342,0.6878829339,0.7653205477
uniform,1,32,marginal,128,1300,9,3.529178659,1.65277646,4.485368314,0.8382222245,0.1579539325,-0.2757973939,0.5886448409,0.7558,-1.231671756,-2.195907188,5.032455608,0.2047,0.3206189217,0.4113889521
uniform,1,32,conditional,128,1300,9,3.733856262,1.611358567,3.300676615,1.980373557,-0.07155738235,-0.6853145594,0.532131148,0.4003,-2.16327654,-2.196672063,0.401292826,0.0398,0.956002969,1.125620635
uniform,1,32,disorder,128,1300,9,-0.2046776038,0.04141789291,1.184691699,-1.142151333,0.2295113149,-0.1958602856,0.6636893154,0.8544,-1.415671947,-2.195633648,2.228816184,0.1356,0.7128546483,0.7182728766
uniform,1,16,marginal,128,1300,9,3.069015441,1.757350781,2.538678153,2.100735041,-0.05249230773,-0.5535918924,0.4540101861,0.4208,-2.159121567,-2.19668537,1.166846076,0.067,0.2777689484,0.3067782123
uniform,1,16,conditional,128,1300,9,3.324280602,1.704457289,2.105582121,2.493543569,-0.1206256797,-0.835438671,0.6139908129,0.3749,-2.113154026,-2.196648747,1.096258958,0.0635,1.091978188,1.249754705
uniform,1,16,disorder,128,1300,9,-0.2552651616,0.05289349147,0.4330960328,-0.3928085274,0.06813337192,-0.4275586724,0.5592569432,0.6091,-2.152788537,-2.196739382,0.5290733998,0.0415,0.8164065714,0.9433621927
uniform,1,8,marginal,128,1300,9,2.574782401,1.864736093,5.843762708,0.1504652671,0.2162325022,-0.3546371653,0.7886348722,0.7693,-1.333034267,-2.195800419,3.862652788,0.1817,0.5376750503,0.511807633
uniform,1,8,conditional,128,1300,9,3.50612377,1.632517585,7.497520678,-0.4605923847,0.26401803,-0.5258662025,1.046178823,0.7454,-1.233282442,-2.195660156,4.447025219,0.2032,0.9229977071,1.105047812
uniform,1,8,disorder,128,1300,9,-0.9313413693,0.2322185073,-1.65375797,0.6110576518,-0.04778552779,-0.6079896632,0.5198528296,0.4308,-2.157268167,-2.196452472,1.972573738,0.1028,0.3858653132,0.598628988
uniform,1,4,marginal,128,1300,9,3.778619902,1.554659445,-2.269566894,4.224996348,-0.2866612182,-0.8738793467,0.3018795758,0.1704,-1.09029511,-2.195539652,4.057389092,0.2176,0.3020741922,1.094332063
