model,component,method,common_log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic_log_minus_quadratic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_holdout_rmse,quadratic_holdout_rmse
gamma,marginal,unweighted,0.3829475545,0.006248913448,0.7541231434,0.9772,2.194782935,-3.548975882,7.030458024,0.3941,0.8067956717,0.6670582265
gamma,marginal,weighted,0.2889105975,-0.006511326013,0.5868270763,0.9717,1.6993541,-3.562093211,7.569106749,0.3663,0.9121541514,0.7110795623
gamma,conditional,unweighted,-0.2013301248,-0.5409662177,0.1411446666,0.1209,-0.8138288623,-3.580038433,4.200994027,0.1755,0.3704961049,0.4756898443
gamma,conditional,weighted,-0.1872840637,-0.4866493973,0.111589596,0.1056,-0.5719666271,-3.579733263,5.026607146,0.211,0.4754539732,0.4921021115
gamma,disorder,unweighted,0.5842776793,0.1956946596,0.9519544056,0.9988,10.84769314,-2.729675926,14.60003653,0.8018,0.8855704245,0.5881951547
gamma,disorder,weighted,0.494772602,0.1932089496,0.7977340256,0.9993,14.56857271,-2.287884692,17.51347834,0.866,1.026082765,0.6077691501
uniform,marginal,unweighted,0.008820377205,-0.2622631505,0.2834767674,0.5201,-3.578224745,-3.58277882,-0.0945470145,0.0234,0.3742643982,0.430987136
uniform,marginal,weighted,0.0635258032,-0.1847141426,0.3159646318,0.6936,-3.172147651,-3.582559994,1.349784988,0.054,0.4148013323,0.4061936977
uniform,conditional,unweighted,-0.08300278842,-0.46374591,0.298043032,0.3257,-3.359144199,-3.582861033,0.2798331111,0.0309,0.8786558587,0.8805875738
uniform,conditional,weighted,0.003540517899,-0.3458075123,0.3519086154,0.4937,-3.582972445,-3.582806168,0.1034232839,0.0272,0.8457839939,0.8624323691
uniform,disorder,unweighted,0.09182316563,-0.1708544044,0.3609257421,0.7508,-3.050990668,-3.582577472,0.7779502609,0.0443,0.5895562811,0.5904243111
uniform,disorder,weighted,0.06556565032,-0.1717305031,0.3114095629,0.7046,-3.251571019,-3.582640782,0.6602625861,0.0381,0.5713792431,0.5963855384
