L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
16,gamma4,1.0,0,6696334072024174874,81,35,0,-1,-16,47
16,gamma4,1.0,1,655356264204895402,297,29,0,16,-3,105
16,gamma4,1.0,2,6007100743118460632,452,52,-2,-8,-16,125
16,gamma4,1.0,3,7511424499221711321,194,44,-1,-6,-16,65
16,gamma4,1.0,4,2144182983513147153,908,48,2,-16,6,185
16,gamma4,1.0,5,3252922493244411842,522,48,1,-4,16,113
16,gamma4,1.0,6,6634334167279912190,73,25,1,-16,5,40
16,gamma4,1.0,7,1907564978500022510,609,45,1,16,1,160
16,gamma4,1.0,8,8195409960081545403,162,42,0,12,-16,79
16,gamma4,1.0,9,1185447609952747170,202,60,4,10,-16,91
16,gamma4,1.0,10,4528285284506093016,121,49,0,3,-16,60
16,gamma4,1.0,11,8458942757864201197,396,38,-2,16,8,130
16,gamma4,1.0,12,2707721843246012019,181,39,2,16,1,68
16,gamma4,1.0,13,4016010694275970418,156,26,1,0,16,62
16,gamma4,1.0,14,2028551603124531103,69,29,0,-16,-3,40
16,gamma4,1.0,15,5971834567854311163,403,29,0,16,-3,109
16,gamma4,1.0,16,3862300096452439931,100,38,-2,-8,16,48
16,gamma4,1.0,17,3861156119062960966,482,54,2,-16,6,156
16,gamma4,1.0,18,6414696191889858245,146,38,0,16,12,90
16,gamma4,1.0,19,2697030003086828235,634,40,0,-10,-16,149
16,gamma4,1.0,20,7667124166888713545,226,52,-2,16,12,84
16,gamma4,1.0,21,3196633995422439583,388,72,-2,12,16,168
16,gamma4,1.0,22,4989730579016606460,441,81,-3,-9,16,125
16,gamma4,1.0,23,1697350340459895533,664,70,2,16,4,200
16,gamma4,1.0,24,7409765355556369294,187,41,0,16,1,80
16,gamma4,1.0,25,8538975279688523561,95,31,-1,7,-16,47
16,gamma4,1.0,26,483006533264994523,568,42,-1,16,0,159
16,gamma4,1.0,27,6739142982857570851,234,46,-3,2,-16,81
16,gamma4,1.0,28,2048751746643845133,82,28,1,6,-16,42
16,gamma4,1.0,29,3945215172754432920,361,33,0,16,-13,118
16,gamma4,1.0,30,8870643778862389203,624,34,-1,-10,16,128
16,gamma4,1.0,31,177774646589757799,590,28,-1,-16,4,161
16,gamma4,1.0,32,3745891181776584130,152,44,-1,16,-6,72
16,gamma4,1.0,33,7149450649277900279,427,39,-1,-16,5,139
16,gamma4,1.0,34,2045909760754669415,433,47,1,-11,16,141
16,gamma4,1.0,35,4777828808262354301,214,56,0,-4,16,95
16,gamma4,1.0,36,973398824765259564,459,69,-2,-3,-16,174
16,gamma4,1.0,37,5850391557334629780,419,25,-1,16,-1,148
16,gamma4,1.0,38,4154052030836131160,450,42,-1,10,-16,119
16,gamma4,1.0,39,5767813868469242678,499,41,2,-1,-16,98
16,gamma4,1.0,40,2480897851219232153,666,30,1,-16,0,159
16,gamma4,1.0,41,3934047680670792808,482,30,-1,0,-16,155
16,gamma4,1.0,42,5125854545254025564,107,35,1,16,-13,60
16,gamma4,1.0,43,4162845835735544198,82,38,-1,-8,16,49
16,gamma4,1.0,44,1393873251307451672,604,44,-1,-16,12,121
16,gamma4,1.0,45,4923618130830311244,105,37,1,-16,-5,50
16,gamma4,1.0,46,512462446085458674,218,48,-2,-16,-10,107
16,gamma4,1.0,47,518726496218263091,577,47,0,16,-13,188
16,gamma4,1.0,48,2066263649988832663,657,67,-3,-16,-5,215
16,gamma4,1.0,49,5155894032110410191,654,36,-1,-12,-16,218
16,gamma4,1.0,50,99473504016820269,208,40,2,16,-12,80
16,gamma4,1.0,51,6581183149955152098,58,26,1,-6,-16,31
16,gamma4,1.0,52,4668220031238338311,222,46,1,-4,16,73
16,gamma4,1.0,53,3975120912573516763,101,31,-1,16,-3,50
16,gamma4,1.0,54,7158672467399175917,228,32,2,4,16,69
16,gamma4,1.0,55,7590717573057413433,182,54,-1,16,-10,85
16,gamma4,1.0,56,7467834968188468846,333,33,0,16,-7,95
16,gamma4,1.0,57,9148691002934468667,318,28,-1,16,2,83
16,gamma4,1.0,58,1266466941803270248,482,34,-3,-16,2,105
16,gamma4,1.0,59,5186523639949161331,438,38,1,16,-2,131
16,gamma4,1.0,60,1747705973718410539,330,44,0,16,2,128
16,gamma4,1.0,61,3629350473005683099,175,33,-2,-16,-9,72
16,gamma4,1.0,62,4086881132060842742,293,45,-1,-16,9,112
16,gamma4,1.0,63,459966443699737703,344,34,2,2,-16,89
16,gamma4,1.0,64,8862792559518358139,409,59,2,16,-9,136
16,gamma4,1.0,65,4731985252829049896,354,44,-1,8,16,100
16,gamma4,1.0,66,4875096294297704155,551,43,1,-16,5,162
16,gamma4,1.0,67,2560016045178759168,89,35,0,5,16,52
16,gamma4,1.0,68,2563587982668988846,3432,36,0,6,16,297
16,gamma4,1.0,69,4086453963942610898,172,46,-4,-16,-8,75
16,gamma4,1.0,70,1224819775003399443,971,27,0,3,-16,170
16,gamma4,1.0,71,4718408308997360604,583,47,-3,-16,-5,132
16,gamma4,1.0,72,3367997777823422750,229,31,1,-16,-7,75
16,gamma4,1.0,73,5094671802783058217,305,71,4,-16,-7,126
16,gamma4,1.0,74,7107502589943139658,173,35,-1,-13,16,76
16,gamma4,1.0,75,7022969160522555733,150,38,1,-8,16,51
16,gamma4,1.0,76,1059966852159809782,133,31,0,-1,16,58
16,gamma4,1.0,77,5345519513313007142,205,35,-1,13,-16,68
16,gamma4,1.0,78,3607456219197245946,464,34,1,16,-2,88
16,gamma4,1.0,79,1806222636862926545,334,36,0,10,-16,94
16,gamma4,1.0,80,5312642028394067400,557,61,1,-16,3,199
16,gamma4,1.0,81,7805212027050071166,190,54,-1,-16,4,77
16,gamma4,1.0,82,1035551518357456883,39,29,-1,16,9,32
16,gamma4,1.0,83,1239658350615462607,324,94,-3,16,4,140
16,gamma4,1.0,84,5553115084331759988,598,32,0,-16,-2,110
16,gamma4,1.0,85,2419243905286416145,215,57,3,-16,-1,91
16,gamma4,1.0,86,5015871958119682244,57,29,0,9,16,36
16,gamma4,1.0,87,3401066643277601076,937,27,-1,-16,1,212
16,gamma4,1.0,88,6811816564697201430,315,25,-1,1,-16,122
16,gamma4,1.0,89,6303561854121913897,421,39,3,16,1,98
16,gamma4,1.0,90,6299446014906251799,207,33,1,-9,16,60
16,gamma4,1.0,91,5725468227753770436,265,31,1,16,1,80
16,gamma4,1.0,92,5534155202201233778,339,55,0,-5,16,135
16,gamma4,1.0,93,1084393239201665265,134,30,1,16,2,53
16,gamma4,1.0,94,9097880451048942025,211,47,0,-16,5,104
16,gamma4,1.0,95,753180423518767685,200,40,0,-2,16,75
16,gamma4,1.0,96,6128775651983400018,387,39,-3,-16,-3,117
16,gamma4,1.0,97,8590704012267625590,232,66,-4,12,-16,100
16,gamma4,1.0,98,359926241178514265,341,41,-1,16,1,142
16,gamma4,1.0,99,7907196531018323464,389,29,1,-16,-7,91
32,gamma4,1.0,0,3426289161587516446,1022,70,1,32,-6,280
32,gamma4,1.0,1,5607065088958402850,1234,88,-1,18,32,329
32,gamma4,1.0,2,3743754638550198044,2352,66,0,32,-4,500
32,gamma4,1.0,3,3555135541488777796,256,94,1,2,32,139
32,gamma4,1.0,4,1061279170174822583,5087,53,0,32,1,915
32,gamma4,1.0,5,3962411734135109263,479,119,3,-32,17,210
32,gamma4,1.0,6,2109679309920831950,971,107,1,32,-7,304
32,gamma4,1.0,7,6244615662538231230,514,124,0,32,20,234
32,gamma4,1.0,8,1689271855581419461,298,76,-4,6,32,141
32,gamma4,1.0,9,8214598616538553899,1290,62,0,10,32,433
32,gamma4,1.0,10,5583062746862466265,942,74,1,16,-32,294
32,gamma4,1.0,11,5352249882464861511,1011,105,2,-19,-32,309
32,gamma4,1.0,12,1424203899963718563,677,97,-1,-32,11,235
32,gamma4,1.0,13,8420115949828521963,299,67,0,32,17,145
32,gamma4,1.0,14,7375809823420181756,465,117,2,-15,-32,206
32,gamma4,1.0,15,3607369576499062719,5119,81,0,32,-5,686
32,gamma4,1.0,16,8152829235704907990,1484,90,0,-32,-6,428
32,gamma4,1.0,17,620271860584909815,669,75,0,32,7,211
32,gamma4,1.0,18,5934486684929188520,1553,157,-3,32,1,404
32,gamma4,1.0,19,1957860598757096454,493,129,0,13,-32,244
32,gamma4,1.0,20,5977442563959639512,3227,133,-1,-32,-19,783
32,gamma4,1.0,21,278597713645811726,946,112,0,32,4,305
32,gamma4,1.0,22,8271928124954588442,1045,141,-2,-9,32,385
32,gamma4,1.0,23,3457463291021811518,891,83,-2,32,-11,272
32,gamma4,1.0,24,4407934996608559034,2033,167,-2,-32,-7,560
32,gamma4,1.0,25,5990975298365624194,950,74,-2,32,20,283
32,gamma4,1.0,26,3737050061625088897,1951,81,-2,-32,-9,467
32,gamma4,1.0,27,8208074536216238723,7858,226,4,32,6,1194
32,gamma4,1.0,28,2804698490252394415,917,97,0,21,32,318
32,gamma4,1.0,29,8687103668141425727,2144,134,-2,32,-6,541
32,gamma4,1.0,30,4733086473086215343,2169,109,4,32,-3,512
32,gamma4,1.0,31,2421854140972401230,991,115,-1,-32,-21,262
32,gamma4,1.0,32,6261409594530970076,2021,101,0,-32,-1,520
32,gamma4,1.0,33,3389899704783482054,969,95,0,19,32,303
32,gamma4,1.0,34,6578591085672044843,3658,90,-1,-32,-4,720
32,gamma4,1.0,35,2239155948659463108,827,117,1,32,-21,258
32,gamma4,1.0,36,1594194591908109569,495,63,1,-32,9,179
32,gamma4,1.0,37,4909890921723123934,2537,85,1,-32,25,484
32,gamma4,1.0,38,3786246965937233769,1955,173,-3,32,1,471
32,gamma4,1.0,39,2878265595304706896,1510,144,-4,8,-32,417
32,gamma4,1.0,40,7347222428669583731,2557,95,0,-9,-32,665
32,gamma4,1.0,41,4118756639805022457,849,89,-2,23,-32,210
32,gamma4,1.0,42,8542654940017843484,2020,82,-1,14,32,411
32,gamma4,1.0,43,6580217907322027862,944,70,-2,-14,32,303
32,gamma4,1.0,44,2088785886124736474,2709,189,1,-23,32,671
32,gamma4,1.0,45,3623336096033032016,1561,85,-1,32,17,288
32,gamma4,1.0,46,4244166942800495413,309,77,1,32,25,142
32,gamma4,1.0,47,2074316381693007123,514,68,1,-10,-32,158
32,gamma4,1.0,48,6819542338092173716,329,93,0,7,-32,149
32,gamma4,1.0,49,3923695429295826440,1354,84,0,14,-32,515
32,gamma4,1.0,50,2265674566085271995,1176,74,0,6,-32,298
32,gamma4,1.0,51,902435848760484625,663,65,1,32,3,177
32,gamma4,1.0,52,1289754945446334212,628,92,0,32,-2,235
32,gamma4,1.0,53,2498150083592315505,1642,120,-3,-18,32,409
32,gamma4,1.0,54,505486457123193150,924,94,0,32,-8,238
32,gamma4,1.0,55,8219216598520486374,1683,109,0,-23,32,512
32,gamma4,1.0,56,8688299056569141345,2055,95,-1,-1,32,550
32,gamma4,1.0,57,8162932471610391602,1234,110,-1,-32,-20,289
32,gamma4,1.0,58,6392854552301032547,1736,100,-1,14,-32,383
32,gamma4,1.0,59,5813681673994526396,1087,125,2,-13,32,356
32,gamma4,1.0,60,7585048156350408072,1849,85,1,-32,23,465
32,gamma4,1.0,61,7479489120544660188,3648,72,0,-32,26,761
32,gamma4,1.0,62,3133494906881959715,306,90,0,10,32,160
