L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
16,gamma,1.0,0,6696334072024174874,268,30,1,6,16,112
16,gamma,1.0,1,655356264204895402,623,87,-4,16,11,246
16,gamma,1.0,2,6007100743118460632,169,39,-1,13,16,71
16,gamma,1.0,3,7511424499221711321,294,52,2,6,16,129
16,gamma,1.0,4,2144182983513147153,168,28,2,4,16,63
16,gamma,1.0,5,3252922493244411842,225,37,1,16,3,84
16,gamma,1.0,6,6634334167279912190,96,26,0,2,16,48
16,gamma,1.0,7,1907564978500022510,119,31,0,16,13,60
16,gamma,1.0,8,8195409960081545403,121,39,-2,16,-3,52
16,gamma,1.0,9,1185447609952747170,192,38,1,16,-8,105
16,gamma,1.0,10,4528285284506093016,131,35,2,16,-1,60
16,gamma,1.0,11,8458942757864201197,549,57,2,-1,16,183
16,gamma,1.0,12,2707721843246012019,188,40,1,4,16,90
16,gamma,1.0,13,4016010694275970418,310,24,0,-16,2,116
16,gamma,1.0,14,2028551603124531103,166,60,-3,16,0,96
16,gamma,1.0,15,5971834567854311163,156,32,0,12,16,65
16,gamma,1.0,16,3862300096452439931,327,35,-1,16,11,101
16,gamma,1.0,17,3861156119062960966,181,39,3,11,16,86
16,gamma,1.0,18,6414696191889858245,64,36,-2,16,-8,44
16,gamma,1.0,19,2697030003086828235,377,41,0,16,-3,136
16,gamma,1.0,20,7667124166888713545,255,29,-2,16,7,93
16,gamma,1.0,21,3196633995422439583,224,36,1,10,16,91
16,gamma,1.0,22,4989730579016606460,106,44,4,6,16,60
16,gamma,1.0,23,1697350340459895533,171,33,-1,1,16,78
16,gamma,1.0,24,7409765355556369294,123,23,-1,16,5,54
16,gamma,1.0,25,8538975279688523561,84,40,-1,16,4,50
16,gamma,1.0,26,483006533264994523,327,33,-2,16,9,106
16,gamma,1.0,27,6739142982857570851,94,34,1,-12,16,58
16,gamma,1.0,28,2048751746643845133,200,40,1,8,16,89
16,gamma,1.0,29,3945215172754432920,82,26,0,8,16,47
16,gamma,1.0,30,8870643778862389203,107,45,1,16,-13,65
16,gamma,1.0,31,177774646589757799,123,37,-1,-7,16,57
16,gamma,1.0,32,3745891181776584130,60,26,1,16,-4,38
16,gamma,1.0,33,7149450649277900279,116,38,0,8,16,68
16,gamma,1.0,34,2045909760754669415,214,36,1,16,12,89
16,gamma,1.0,35,4777828808262354301,297,41,-2,-3,16,132
16,gamma,1.0,36,973398824765259564,143,43,4,11,16,78
16,gamma,1.0,37,5850391557334629780,210,44,-1,-10,16,103
16,gamma,1.0,38,4154052030836131160,165,35,0,13,16,77
16,gamma,1.0,39,5767813868469242678,298,42,-1,16,2,104
16,gamma,1.0,40,2480897851219232153,510,34,0,-10,16,135
16,gamma,1.0,41,3934047680670792808,313,45,2,16,1,120
16,gamma,1.0,42,5125854545254025564,330,64,-1,12,16,121
16,gamma,1.0,43,4162845835735544198,391,37,-1,9,16,131
16,gamma,1.0,44,1393873251307451672,341,63,0,16,-1,159
16,gamma,1.0,45,4923618130830311244,169,25,0,1,16,60
16,gamma,1.0,46,512462446085458674,322,54,0,-16,8,125
16,gamma,1.0,47,518726496218263091,283,41,0,7,16,107
16,gamma,1.0,48,2066263649988832663,128,40,-1,8,16,80
16,gamma,1.0,49,5155894032110410191,62,26,0,10,16,35
16,gamma,1.0,50,99473504016820269,165,25,0,-1,16,66
16,gamma,1.0,51,6581183149955152098,411,73,1,-16,13,155
16,gamma,1.0,52,4668220031238338311,107,25,0,16,1,44
16,gamma,1.0,53,3975120912573516763,104,44,1,16,0,64
16,gamma,1.0,54,7158672467399175917,192,46,0,-16,-2,76
16,gamma,1.0,55,7590717573057413433,265,63,1,16,13,137
16,gamma,1.0,56,7467834968188468846,260,30,-1,-8,16,105
16,gamma,1.0,57,9148691002934468667,145,33,0,16,7,73
16,gamma,1.0,58,1266466941803270248,330,30,1,0,16,101
16,gamma,1.0,59,5186523639949161331,139,49,1,16,-9,70
16,gamma,1.0,60,1747705973718410539,172,46,-1,16,6,78
16,gamma,1.0,61,3629350473005683099,227,45,-2,16,-5,101
16,gamma,1.0,62,4086881132060842742,290,46,0,16,14,101
16,gamma,1.0,63,459966443699737703,643,63,2,7,16,175
16,gamma,1.0,64,8862792559518358139,41,23,0,-5,16,28
16,gamma,1.0,65,4731985252829049896,81,41,0,-11,16,53
16,gamma,1.0,66,4875096294297704155,181,39,1,9,16,83
16,gamma,1.0,67,2560016045178759168,110,34,-1,16,2,53
16,gamma,1.0,68,2563587982668988846,114,34,0,10,16,60
16,gamma,1.0,69,4086453963942610898,356,82,-2,14,16,160
16,gamma,1.0,70,1224819775003399443,194,28,-1,-2,16,83
16,gamma,1.0,71,4718408308997360604,128,32,0,16,6,55
16,gamma,1.0,72,3367997777823422750,257,59,2,16,13,108
16,gamma,1.0,73,5094671802783058217,285,45,-1,16,1,98
16,gamma,1.0,74,7107502589943139658,247,81,2,7,16,133
16,gamma,1.0,75,7022969160522555733,108,34,0,16,8,61
16,gamma,1.0,76,1059966852159809782,52,30,1,0,16,38
