L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
16,symmetric,,0,6696334072024174874,242,38,1,-2,-16,0
16,symmetric,,1,655356264204895402,108,36,-1,-6,-16,0
16,symmetric,,2,6007100743118460632,337,57,2,16,3,0
16,symmetric,,3,7511424499221711321,148,36,1,6,16,0
16,symmetric,,4,2144182983513147153,491,33,-1,7,-16,0
16,symmetric,,5,3252922493244411842,286,34,1,10,-16,0
16,symmetric,,6,6634334167279912190,103,33,1,-3,16,0
16,symmetric,,7,1907564978500022510,142,32,2,4,16,0
16,symmetric,,8,8195409960081545403,230,46,-1,-14,16,0
16,symmetric,,9,1185447609952747170,248,32,-1,-2,-16,0
16,symmetric,,10,4528285284506093016,271,55,-2,16,3,0
16,symmetric,,11,8458942757864201197,703,35,0,-16,-5,0
16,symmetric,,12,2707721843246012019,130,28,1,-16,-6,0
16,symmetric,,13,4016010694275970418,100,24,1,-16,6,0
16,symmetric,,14,2028551603124531103,963,69,3,16,-5,0
16,symmetric,,15,5971834567854311163,647,27,0,-1,-16,0
16,symmetric,,16,3862300096452439931,1279,61,-2,16,-5,0
16,symmetric,,17,3861156119062960966,149,49,-1,-16,-13,0
16,symmetric,,18,6414696191889858245,85,33,0,1,-16,0
16,symmetric,,19,2697030003086828235,234,30,-1,4,-16,0
16,symmetric,,20,7667124166888713545,75,31,1,-16,1,0
16,symmetric,,21,3196633995422439583,346,30,2,16,6,0
16,symmetric,,22,4989730579016606460,195,23,0,3,16,0
16,symmetric,,23,1697350340459895533,246,36,1,-10,-16,0
16,symmetric,,24,7409765355556369294,207,27,1,16,-11,0
16,symmetric,,25,8538975279688523561,57,27,0,16,5,0
16,symmetric,,26,483006533264994523,354,56,0,-16,-12,0
16,symmetric,,27,6739142982857570851,181,35,-1,-16,1,0
16,symmetric,,28,2048751746643845133,163,29,0,-9,16,0
16,symmetric,,29,3945215172754432920,255,43,1,7,16,0
16,symmetric,,30,8870643778862389203,63,33,-2,-16,1,0
16,symmetric,,31,177774646589757799,545,37,0,5,16,0
16,symmetric,,32,3745891181776584130,88,28,1,16,-10,0
16,symmetric,,33,7149450649277900279,293,57,0,16,-3,0
16,symmetric,,34,2045909760754669415,448,30,0,16,4,0
16,symmetric,,35,4777828808262354301,97,41,0,-16,-9,0
16,symmetric,,36,973398824765259564,299,69,4,-5,16,0
16,symmetric,,37,5850391557334629780,322,34,1,-16,2,0
16,symmetric,,38,4154052030836131160,476,32,-1,-16,0,0
16,symmetric,,39,5767813868469242678,400,38,-1,-6,-16,0
16,symmetric,,40,2480897851219232153,439,61,0,-11,-16,0
16,symmetric,,41,3934047680670792808,274,32,2,-8,-16,0
16,symmetric,,42,5125854545254025564,418,30,-1,2,-16,0
16,symmetric,,43,4162845835735544198,318,48,-1,-16,-2,0
16,symmetric,,44,1393873251307451672,194,40,-1,-16,4,0
16,symmetric,,45,4923618130830311244,189,43,2,-16,7,0
16,symmetric,,46,512462446085458674,383,41,0,-13,-16,0
16,symmetric,,47,518726496218263091,314,38,1,-16,4,0
16,symmetric,,48,2066263649988832663,161,35,-1,3,16,0
16,symmetric,,49,5155894032110410191,251,43,0,16,-5,0
16,symmetric,,50,99473504016820269,578,50,3,16,-6,0
16,symmetric,,51,6581183149955152098,155,41,-1,-16,-15,0
16,symmetric,,52,4668220031238338311,207,47,1,7,16,0
16,symmetric,,53,3975120912573516763,389,27,-1,16,5,0
16,symmetric,,54,7158672467399175917,701,31,0,16,-1,0
16,symmetric,,55,7590717573057413433,596,36,1,-16,-8,0
16,symmetric,,56,7467834968188468846,256,28,-1,-16,-4,0
16,symmetric,,57,9148691002934468667,509,51,-2,7,-16,0
16,symmetric,,58,1266466941803270248,264,46,-2,16,0,0
16,symmetric,,59,5186523639949161331,640,34,0,16,-10,0
16,symmetric,,60,1747705973718410539,185,31,0,-1,16,0
16,symmetric,,61,3629350473005683099,141,41,-1,16,11,0
16,symmetric,,62,4086881132060842742,1053,25,0,5,16,0
16,symmetric,,63,459966443699737703,177,43,1,-3,-16,0
16,symmetric,,64,8862792559518358139,89,41,-1,-7,16,0
16,symmetric,,65,4731985252829049896,875,37,-2,11,-16,0
16,symmetric,,66,4875096294297704155,658,34,-2,-4,16,0
16,symmetric,,67,2560016045178759168,354,26,-1,16,4,0
16,symmetric,,68,2563587982668988846,100,30,1,16,4,0
16,symmetric,,69,4086453963942610898,120,44,0,-16,-14,0
16,symmetric,,70,1224819775003399443,411,53,1,15,16,0
16,symmetric,,71,4718408308997360604,210,42,-1,16,12,0
16,symmetric,,72,3367997777823422750,605,37,-1,7,16,0
16,symmetric,,73,5094671802783058217,630,48,1,16,10,0
16,symmetric,,74,7107502589943139658,227,71,2,-16,-1,0
16,symmetric,,75,7022969160522555733,283,29,1,16,-1,0
16,symmetric,,76,1059966852159809782,146,30,1,-6,16,0
16,symmetric,,77,5345519513313007142,161,59,3,16,9,0
16,symmetric,,78,3607456219197245946,176,30,1,-16,2,0
16,symmetric,,79,1806222636862926545,370,22,1,0,16,0
16,symmetric,,80,5312642028394067400,188,52,0,-8,-16,0
16,symmetric,,81,7805212027050071166,149,35,0,1,-16,0
16,symmetric,,82,1035551518357456883,235,55,-1,9,16,0
16,symmetric,,83,1239658350615462607,163,43,1,1,-16,0
16,symmetric,,84,5553115084331759988,293,43,1,-16,-5,0
16,symmetric,,85,2419243905286416145,178,22,1,-16,0,0
16,symmetric,,86,5015871958119682244,389,53,-2,-16,-11,0
16,symmetric,,87,3401066643277601076,245,49,-2,11,-16,0
16,symmetric,,88,6811816564697201430,109,29,0,3,16,0
16,symmetric,,89,6303561854121913897,655,59,2,16,-3,0
16,symmetric,,90,6299446014906251799,157,39,0,16,-9,0
16,symmetric,,91,5725468227753770436,83,39,-1,16,-9,0
16,symmetric,,92,5534155202201233778,161,47,2,7,16,0
16,symmetric,,93,1084393239201665265,96,28,0,-16,-2,0
16,symmetric,,94,9097880451048942025,404,58,1,-16,4,0
16,symmetric,,95,753180423518767685,145,53,0,-16,-13,0
16,symmetric,,96,6128775651983400018,151,35,1,16,7,0
16,symmetric,,97,8590704012267625590,732,50,2,-16,-4,0
16,symmetric,,98,359926241178514265,226,40,-1,-14,-16,0
16,symmetric,,99,7907196531018323464,618,36,0,16,6,0
32,symmetric,,0,3426289161587516446,715,79,1,17,-32,0
32,symmetric,,1,5607065088958402850,1739,123,-1,32,5,0
32,symmetric,,2,3743754638550198044,1029,105,1,-11,-32,0
32,symmetric,,3,3555135541488777796,648,78,1,-2,32,0
32,symmetric,,4,1061279170174822583,1153,67,0,7,-32,0
32,symmetric,,5,3962411734135109263,1459,107,0,-9,32,0
32,symmetric,,6,2109679309920831950,1339,79,0,-32,5,0
32,symmetric,,7,6244615662538231230,265,57,0,3,-32,0
32,symmetric,,8,1689271855581419461,549,75,0,32,17,0
32,symmetric,,9,8214598616538553899,870,130,-2,4,-32,0
32,symmetric,,10,5583062746862466265,1892,126,-1,28,32,0
32,symmetric,,11,5352249882464861511,1392,136,-1,-18,-32,0
32,symmetric,,12,1424203899963718563,979,117,-1,9,-32,0
32,symmetric,,13,8420115949828521963,1098,182,2,-32,2,0
32,symmetric,,14,7375809823420181756,699,81,1,7,-32,0
32,symmetric,,15,3607369576499062719,676,76,-2,32,-20,0
32,symmetric,,16,8152829235704907990,3963,105,0,-32,-27,0
32,symmetric,,17,620271860584909815,1340,160,4,32,-8,0
32,symmetric,,18,5934486684929188520,730,80,2,-32,-4,0
32,symmetric,,19,1957860598757096454,1272,60,1,32,-4,0
32,symmetric,,20,5977442563959639512,334,66,-1,32,2,0
32,symmetric,,21,278597713645811726,928,102,1,-32,-12,0
32,symmetric,,22,8271928124954588442,1931,83,0,32,-1,0
32,symmetric,,23,3457463291021811518,5575,141,0,15,-32,0
32,symmetric,,24,4407934996608559034,997,117,2,5,32,0
32,symmetric,,25,5990975298365624194,1675,77,1,32,7,0
32,symmetric,,26,3737050061625088897,597,91,2,-32,11,0
32,symmetric,,27,8208074536216238723,481,95,2,32,5,0
32,symmetric,,28,2804698490252394415,684,92,0,32,-8,0
32,symmetric,,29,8687103668141425727,2622,88,-2,-10,32,0
32,symmetric,,30,4733086473086215343,943,93,-1,-32,-9,0
32,symmetric,,31,2421854140972401230,670,82,0,-32,24,0
32,symmetric,,32,6261409594530970076,1961,69,-1,-32,-3,0
32,symmetric,,33,3389899704783482054,2512,176,4,-28,-32,0
32,symmetric,,34,6578591085672044843,1774,196,1,16,-32,0
32,symmetric,,35,2239155948659463108,1634,84,-2,4,32,0
32,symmetric,,36,1594194591908109569,586,94,-1,18,-32,0
32,symmetric,,37,4909890921723123934,1486,126,0,-32,18,0
32,symmetric,,38,3786246965937233769,3276,148,-2,12,32,0
32,symmetric,,39,2878265595304706896,1784,74,0,6,32,0
32,symmetric,,40,7347222428669583731,784,70,2,32,8,0
32,symmetric,,41,4118756639805022457,2899,87,2,32,9,0
32,symmetric,,42,8542654940017843484,2445,77,-2,-15,-32,0
32,symmetric,,43,6580217907322027862,1619,75,0,32,-5,0
32,symmetric,,44,2088785886124736474,1084,84,0,-8,-32,0
32,symmetric,,45,3623336096033032016,719,81,1,-1,-32,0
32,symmetric,,46,4244166942800495413,738,68,0,8,32,0
32,symmetric,,47,2074316381693007123,1441,57,-1,13,32,0
32,symmetric,,48,6819542338092173716,1719,105,-2,-13,32,0
32,symmetric,,49,3923695429295826440,216,84,0,16,-32,0
32,symmetric,,50,2265674566085271995,380,70,1,0,-32,0
32,symmetric,,51,902435848760484625,510,88,0,-4,-32,0
32,symmetric,,52,1289754945446334212,723,77,1,-13,-32,0
32,symmetric,,53,2498150083592315505,585,81,0,-32,-27,0
32,symmetric,,54,505486457123193150,2731,89,1,32,-21,0
32,symmetric,,55,8219216598520486374,1253,73,2,32,11,0
32,symmetric,,56,8688299056569141345,950,104,-1,22,-32,0
32,symmetric,,57,8162932471610391602,1425,101,2,9,-32,0
32,symmetric,,58,6392854552301032547,1581,61,-1,-32,-3,0
32,symmetric,,59,5813681673994526396,1420,110,1,-20,-32,0
32,symmetric,,60,7585048156350408072,536,92,-1,-8,32,0
32,symmetric,,61,7479489120544660188,892,134,-1,-6,-32,0
32,symmetric,,62,3133494906881959715,944,104,-4,24,-32,0
32,symmetric,,63,50754972824659393,1788,108,-1,-32,-10,0
32,symmetric,,64,1589051991759639827,1525,67,1,-32,15,0
32,symmetric,,65,110003790145534557,485,99,3,-5,-32,0
32,symmetric,,66,4147259651285071498,2225,81,-1,9,32,0
32,symmetric,,67,6826549035287246001,2631,91,2,32,-17,0
32,symmetric,,68,8179161349447876469,701,95,3,-9,-32,0
32,symmetric,,69,3277618375627909656,854,74,-1,32,-8,0
32,symmetric,,70,1976745979527977944,315,69,-2,32,-5,0
32,symmetric,,71,2625949222159907413,395,75,1,19,32,0
32,symmetric,,72,6890801083762403383,451,83,-2,32,3,0
32,symmetric,,73,6826115470757627071,544,110,0,4,-32,0
32,symmetric,,74,7388422817355473431,1490,184,-4,-32,0,0
32,symmetric,,75,1852279249224780157,263,51,0,5,32,0
32,symmetric,,76,6441368652865918921,2081,265,-2,32,1,0
32,symmetric,,77,3013162238727666448,2367,87,-2,32,-7,0
32,symmetric,,78,4904934113787802948,4099,53,0,9,32,0
32,symmetric,,79,1464551998275044986,2241,97,1,1,-32,0
32,symmetric,,80,5241481416464800325,158,62,0,32,-8,0
32,symmetric,,81,1547318355183206805,418,104,1,-18,-32,0
32,symmetric,,82,2820986382334946328,1641,83,-1,3,32,0
32,symmetric,,83,8671888554075017623,324,88,1,-32,14,0
32,symmetric,,84,2866741457375821203,498,76,1,-32,12,0
