L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
8,gamma,1.0,0,6696334072024174874,18,14,0,8,6,16
8,gamma,1.0,1,655356264204895402,32,12,-1,2,-8,21
8,gamma,1.0,2,6007100743118460632,99,15,-1,3,8,39
8,gamma,1.0,3,7511424499221711321,89,27,2,1,8,46
8,gamma,1.0,4,2144182983513147153,44,16,2,6,8,29
8,gamma,1.0,5,3252922493244411842,71,13,1,8,-5,27
8,gamma,1.0,6,6634334167279912190,54,10,0,2,8,25
8,gamma,1.0,7,1907564978500022510,39,17,0,8,3,23
8,gamma,1.0,8,8195409960081545403,74,20,-2,8,0,28
8,gamma,1.0,9,1185447609952747170,76,18,1,8,4,47
8,gamma,1.0,10,4528285284506093016,76,18,2,8,0,34
8,gamma,1.0,11,8458942757864201197,199,17,1,8,-5,77
8,gamma,1.0,12,2707721843246012019,48,24,1,-4,8,30
8,gamma,1.0,13,4016010694275970418,79,15,-1,-3,8,39
8,gamma,1.0,14,2028551603124531103,117,25,-3,8,1,62
8,gamma,1.0,15,5971834567854311163,42,12,0,4,8,24
8,gamma,1.0,16,3862300096452439931,41,15,0,5,8,27
8,gamma,1.0,17,3861156119062960966,109,13,2,8,-1,48
8,gamma,1.0,18,6414696191889858245,31,19,-3,7,-8,23
8,gamma,1.0,19,2697030003086828235,106,14,0,8,2,52
16,gamma,1.0,0,7667124166888713545,255,29,-2,16,7,93
16,gamma,1.0,1,3196633995422439583,224,36,1,10,16,91
16,gamma,1.0,2,4989730579016606460,106,44,4,6,16,60
16,gamma,1.0,3,1697350340459895533,171,33,-1,1,16,78
16,gamma,1.0,4,7409765355556369294,123,23,-1,16,5,54
16,gamma,1.0,5,8538975279688523561,84,40,-1,16,4,50
16,gamma,1.0,6,483006533264994523,327,33,-2,16,9,106
16,gamma,1.0,7,6739142982857570851,94,34,1,-12,16,58
16,gamma,1.0,8,2048751746643845133,200,40,1,8,16,89
16,gamma,1.0,9,3945215172754432920,82,26,0,8,16,47
16,gamma,1.0,10,8870643778862389203,107,45,1,16,-13,65
16,gamma,1.0,11,177774646589757799,123,37,-1,-7,16,57
16,gamma,1.0,12,3745891181776584130,60,26,1,16,-4,38
16,gamma,1.0,13,7149450649277900279,116,38,0,8,16,68
16,gamma,1.0,14,2045909760754669415,214,36,1,16,12,89
16,gamma,1.0,15,4777828808262354301,297,41,-2,-3,16,132
16,gamma,1.0,16,973398824765259564,143,43,4,11,16,78
16,gamma,1.0,17,5850391557334629780,210,44,-1,-10,16,103
16,gamma,1.0,18,4154052030836131160,165,35,0,13,16,77
16,gamma,1.0,19,5767813868469242678,298,42,-1,16,2,104
