L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
8,symmetric,,0,6696334072024174874,84,20,0,2,8,0
8,symmetric,,1,655356264204895402,41,15,-1,3,-8,0
8,symmetric,,2,6007100743118460632,56,12,0,-8,-2,0
8,symmetric,,3,7511424499221711321,54,14,0,8,6,0
8,symmetric,,4,2144182983513147153,125,15,2,1,8,0
8,symmetric,,5,3252922493244411842,198,18,2,8,-2,0
8,symmetric,,6,6634334167279912190,19,17,1,5,8,0
8,symmetric,,7,1907564978500022510,46,14,2,4,8,0
8,symmetric,,8,8195409960081545403,28,16,-1,-4,8,0
8,symmetric,,9,1185447609952747170,28,14,-2,-8,0,0
8,symmetric,,10,4528285284506093016,86,14,-1,-2,8,0
8,symmetric,,11,8458942757864201197,63,19,1,8,-7,0
8,symmetric,,12,2707721843246012019,53,13,1,-8,-1,0
8,symmetric,,13,4016010694275970418,86,12,1,-8,4,0
8,symmetric,,14,2028551603124531103,78,14,0,-2,8,0
8,symmetric,,15,5971834567854311163,47,17,0,-8,5,0
8,symmetric,,16,3862300096452439931,92,12,0,0,8,0
8,symmetric,,17,3861156119062960966,54,20,-1,-8,-2,0
8,symmetric,,18,6414696191889858245,41,13,0,3,-8,0
8,symmetric,,19,2697030003086828235,39,13,-1,3,-8,0
16,symmetric,,0,7667124166888713545,75,31,1,-16,1,0
16,symmetric,,1,3196633995422439583,346,30,2,16,6,0
16,symmetric,,2,4989730579016606460,195,23,0,3,16,0
16,symmetric,,3,1697350340459895533,246,36,1,-10,-16,0
16,symmetric,,4,7409765355556369294,207,27,1,16,-11,0
16,symmetric,,5,8538975279688523561,57,27,0,16,5,0
16,symmetric,,6,483006533264994523,354,56,0,-16,-12,0
16,symmetric,,7,6739142982857570851,181,35,-1,-16,1,0
16,symmetric,,8,2048751746643845133,163,29,0,-9,16,0
16,symmetric,,9,3945215172754432920,255,43,1,7,16,0
16,symmetric,,10,8870643778862389203,63,33,-2,-16,1,0
16,symmetric,,11,177774646589757799,545,37,0,5,16,0
16,symmetric,,12,3745891181776584130,88,28,1,16,-10,0
16,symmetric,,13,7149450649277900279,293,57,0,16,-3,0
16,symmetric,,14,2045909760754669415,448,30,0,16,4,0
16,symmetric,,15,4777828808262354301,97,41,0,-16,-9,0
16,symmetric,,16,973398824765259564,299,69,4,-5,16,0
16,symmetric,,17,5850391557334629780,322,34,1,-16,2,0
16,symmetric,,18,4154052030836131160,476,32,-1,-16,0,0
16,symmetric,,19,5767813868469242678,400,38,-1,-6,-16,0
