task_id,campaign_id,master_seed,model,gamma_shape,L,environment_start,environment_stop,environment_count,max_horizon_sweeps,backend
0,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,0,200,200,67108864,numba
1,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,200,400,200,67108864,numba
2,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,400,600,200,67108864,numba
3,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,600,800,200,67108864,numba
4,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,800,1000,200,67108864,numba
5,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,1000,1200,200,67108864,numba
6,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,1200,1400,200,67108864,numba
7,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,1400,1600,200,67108864,numba
8,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,1600,1800,200,67108864,numba
9,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,1800,2000,200,67108864,numba
10,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,2000,2200,200,67108864,numba
11,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,2200,2400,200,67108864,numba
12,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,2400,2600,200,67108864,numba
13,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,2600,2800,200,67108864,numba
14,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,2800,3000,200,67108864,numba
15,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,3000,3200,200,67108864,numba
16,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,3200,3400,200,67108864,numba
17,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,3400,3600,200,67108864,numba
18,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,3600,3800,200,67108864,numba
19,square-glauber-perfect-covariance-20260909,2026090901,gamma,1.0,8,3800,4000,200,67108864,numba
